City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Udachnyy,92,RU,2019-04-02,80,66.42,112.4,1.61,2.22
San Cristobal,75,EC,2019-04-02,93,-0.39,-78.55,14.0,2.1
Ushuaia,75,AR,2019-04-02,81,-54.81,-68.31,12.0,2.1
Itoman,20,JP,2019-04-02,45,26.12,127.67,19.0,4.6
Moindou,20,NC,2019-04-02,62,-21.69,165.68,30.0,7.2
Newport,90,GB,2019-04-02,93,51.59,-3.0,8.89,3.6
Rock Sound,0,BS,2019-04-02,100,24.9,-76.2,24.36,5.02
Leningradskiy,44,RU,2019-04-02,99,69.38,178.42,-6.24,5.32
Rikitea,0,PF,2019-04-02,100,-23.12,-134.97,24.51,7.47
Jacareacanga,12,BR,2019-04-02,92,-6.22,-57.76,24.96,0.92
Tasiilaq,76,GL,2019-04-02,68,65.61,-37.64,-4.0,7.2
Punta Arenas,90,CL,2019-04-02,93,-53.16,-70.91,10.0,4.1
Shestakovo,64,RU,2019-04-02,64,56.49,103.96,0.36,2.87
Muhos,0,FI,2019-04-02,91,64.81,26.0,0.0,4.6
Matveyevka,8,UA,2019-04-02,68,45.75,33.81,6.96,7.47
Bontang,56,ID,2019-04-02,96,0.12,117.47,27.86,2.12
Hambantota,0,LK,2019-04-02,83,6.12,81.12,28.0,2.1
Gidam,0,IN,2019-04-02,58,18.98,81.4,27.36,2.02
Hilo,90,US,2019-04-02,65,19.71,-155.08,26.0,2.1
Qaanaaq,0,GL,2019-04-02,72,77.48,-69.36,-21.59,2.82
Sioux Lookout,90,CA,2019-04-02,72,50.1,-91.92,0.0,5.1
Dakar,0,SN,2019-04-02,77,14.69,-17.45,20.0,7.2
Carnarvon,32,ZA,2019-04-02,72,-30.97,22.13,4.46,4.37
Kapaa,90,US,2019-04-02,65,22.08,-159.32,26.0,4.1
Terekli-Mekteb,92,RU,2019-04-02,99,44.16,45.87,5.46,4.07
Vaini,0,IN,2019-04-02,88,15.34,74.49,20.0,1.62
Nikolskoye,0,RU,2019-04-02,82,59.7,30.79,1.11,4.0
Havre-Saint-Pierre,90,CA,2019-04-02,58,50.23,-63.6,-4.0,8.2
Tuktoyaktuk,40,CA,2019-04-02,84,69.44,-133.03,-14.0,4.1
Mount Gambier,12,AU,2019-04-02,43,-37.83,140.78,22.0,7.7
Guerrero Negro,0,MX,2019-04-02,49,27.97,-114.04,17.91,2.97
Rongcheng,80,CN,2019-04-02,61,37.16,122.42,16.11,0.45
Longyearbyen,20,NO,2019-04-02,71,78.22,15.63,-13.0,4.6
Upernavik,48,GL,2019-04-02,100,72.79,-56.15,-10.04,2.87
Saint-Joseph,0,FR,2019-04-02,65,43.56,6.97,14.44,1.0
Vilhena,12,BR,2019-04-02,92,-12.74,-60.15,23.31,1.22
Vestmannaeyjar,0,IS,2019-04-02,100,63.44,-20.27,-0.59,8.72
Port Alfred,92,ZA,2019-04-02,95,-33.59,26.89,14.44,2.67
Airai,24,TL,2019-04-02,73,-8.93,125.41,26.76,0.72
Kloulklubed,75,PW,2019-04-02,74,7.04,134.26,29.0,4.1
Sakaiminato,75,JP,2019-04-02,75,35.55,133.23,8.89,7.7
Rio Grande,20,BR,2019-04-02,93,-32.03,-52.1,21.06,4.12
Atuona,8,PF,2019-04-02,100,-9.8,-139.03,28.06,4.42
Hermanus,0,ZA,2019-04-02,91,-34.42,19.24,13.33,2.62
Mackenzie,1,CA,2019-04-02,31,55.34,-123.09,9.0,2.6
Point Pedro,0,LK,2019-04-02,93,9.82,80.23,28.81,4.67
Vung Tau,76,VN,2019-04-02,93,10.35,107.08,28.26,6.47
Tilichiki,92,RU,2019-04-02,93,60.47,166.1,1.51,5.32
Albany,1,US,2019-04-02,39,42.65,-73.75,-0.57,3.1
Dikson,76,RU,2019-04-02,97,73.51,80.55,-3.44,11.27
Saint George,0,GR,2019-04-02,86,39.45,22.34,6.0,0.87
Ponta Delgada,40,PT,2019-04-02,67,37.73,-25.67,14.0,8.7
Recife,92,BR,2019-04-02,95,-28.48,-48.99,19.46,2.32
Constitucion,5,MX,2019-04-02,13,23.99,-104.67,23.0,6.2
Port Elizabeth,1,US,2019-04-02,63,39.31,-74.98,4.44,0.62
Yulara,0,AU,2019-04-02,16,-25.24,130.99,26.0,6.2
Miraflores,88,CO,2019-04-02,98,5.2,-73.14,12.21,0.82
Turukhansk,68,RU,2019-04-02,91,65.8,87.96,-2.64,5.52
Lares,92,PR,2019-04-02,89,18.3,-66.88,25.56,6.17
Tiksi,32,RU,2019-04-02,81,71.64,128.87,-5.84,1.72
Sao Joao da Barra,12,BR,2019-04-02,100,-21.64,-41.05,25.16,4.57
Nova Olimpia,24,BR,2019-04-02,89,-14.8,-57.29,25.41,1.22
Progreso,12,UY,2019-04-02,88,-34.68,-56.22,21.67,4.47
Avarua,12,CK,2019-04-02,69,-21.21,-159.78,28.0,6.2
Aykino,0,RU,2019-04-02,76,62.22,49.99,-7.84,4.12
Regina,90,CA,2019-04-02,52,50.45,-104.62,5.0,8.7
Veraval,88,FR,2019-04-02,81,49.65,0.71,11.11,1.5
Busselton,0,AU,2019-04-02,35,-33.64,115.35,23.33,2.47
Arraial do Cabo,68,BR,2019-04-02,100,-22.97,-42.02,22.81,1.97
Cabo San Lucas,5,MX,2019-04-02,73,22.89,-109.91,23.0,1.5
Ambon,90,FR,2019-04-02,100,47.55,-2.56,10.56,5.1
Norman Wells,75,CA,2019-04-02,73,65.28,-126.83,-4.0,4.1
Severo-Yeniseyskiy,36,RU,2019-04-02,68,60.37,93.04,0.11,3.67
Bambous Virieux,20,MU,2019-04-02,94,-20.34,57.76,23.89,1.5
Auki,0,NG,2019-04-02,30,12.18,6.51,20.76,3.67
Khatanga,88,RU,2019-04-02,100,71.98,102.47,-0.54,4.97
Ribeira Grande,48,PT,2019-04-02,100,38.52,-28.7,15.26,9.92
Hamilton,90,BM,2019-04-02,88,32.3,-64.78,19.0,8.2
Sur,12,OM,2019-04-02,78,22.57,59.53,26.81,4.37
Sao Filipe,0,CV,2019-04-02,100,14.9,-24.5,20.96,5.22
Meulaboh,24,ID,2019-04-02,100,4.14,96.13,27.26,1.42
Hobart,75,AU,2019-04-02,42,-42.88,147.33,18.0,3.1
Muros,75,ES,2019-04-02,93,42.77,-9.06,13.89,3.1
Pevek,0,RU,2019-04-02,79,69.7,170.27,-1.29,7.67
Khash,8,IR,2019-04-02,57,28.22,61.21,12.96,1.12
Orje,76,NO,2019-04-02,86,59.48,11.66,1.67,4.6
Asosa,0,ET,2019-04-02,51,10.07,34.53,14.41,1.32
Port Hardy,20,CA,2019-04-02,50,50.7,-127.42,14.0,2.1
Puerto Ayora,32,EC,2019-04-02,94,-0.74,-90.35,26.11,2.42
Saint-Philippe,1,CA,2019-04-02,77,45.36,-73.48,0.56,6.2
Bonthe,44,SL,2019-04-02,83,7.53,-12.5,27.71,1.67
Bluff,0,AU,2019-04-02,44,-23.58,149.07,28.81,5.47
Tura,12,IN,2019-04-02,91,25.52,90.21,21.16,1.77
Fortuna,0,ES,2019-04-02,93,38.18,-1.13,13.89,2.1
Jumla,0,NP,2019-04-02,81,29.28,82.18,-0.04,0.82
Aksu,0,KZ,2019-04-02,86,52.04,76.93,4.0,3.0
Kavieng,44,PG,2019-04-02,100,-2.57,150.8,28.51,3.77
Barrow,80,AR,2019-04-02,72,-38.31,-60.23,22.26,5.57
Zhicheng,80,CN,2019-04-02,19,35.04,112.59,18.33,2.24
Beloha,0,MG,2019-04-02,85,-25.17,45.06,19.06,2.42
Chokurdakh,20,RU,2019-04-02,91,70.62,147.9,-12.54,5.97
Inirida,0,CO,2019-04-02,95,3.87,-67.92,23.61,0.97
Lompoc,1,US,2019-04-02,93,34.64,-120.46,18.33,4.1
Brewster,1,US,2019-04-02,53,41.76,-70.08,3.89,5.22
Bud,20,NO,2019-04-02,69,62.91,6.91,4.0,2.1
Butaritari,68,KI,2019-04-02,100,3.07,172.79,27.76,4.12
Gurupi,0,BR,2019-04-02,88,-11.73,-49.07,24.26,1.32
Mataura,92,NZ,2019-04-02,70,-46.19,168.86,13.33,2.24
Amapa,20,HN,2019-04-02,78,15.09,-87.97,25.0,2.6
Saldanha,32,PT,2019-04-02,88,41.42,-6.55,5.31,0.77
Davod,0,HU,2019-04-02,64,45.99,18.92,4.0,4.72
Sayat,75,TM,2019-04-02,71,38.78,63.88,14.0,4.1
Kodiak,1,US,2019-04-02,24,39.95,-94.76,8.89,5.1
